neighbourhood,rent_price
The Highlands,1354
Richmond Beach,1354
Innis Arden,1354
Rainier View,1383
Zenith,1453
Woodmont,1453
South Des Moines,1453
Redondo,1453
Pacific Ridge,1453
North Central Des Moines,1453
Marina District,1453
Central Des Moines,1453
North Hill,1479
South Park,1520
Georgetown,1520
Ridgecrest,1585
North City,1585
Briarcrest,1585
Ballinger,1585
Richmond Highlands,1625
Hillwood,1625
Highland Terrace,1625
Broadview,1625
Echo Lake,1637
Victory Heights,1637
Pinehurst,1637
Olympic Hills,1637
Cedar Park,1637
Haller Lake,1642
Westminster Triangle,1649
Parkwood,1649
Meridian Park,1649
Bitter Lake,1649
North Beach/Blue Ridge,1657
Crown Hill,1657
Meadowbrook,1726
Matthews Beach,1726
Maple Leaf,1726
Rainier Beach,1756
North Beacon Hill,1779
Fauntleroy,1786
Arbor Heights,1786
North College Park,1828
Greenwood,1832
Atlantic,1841
South Beacon Hill,1842
Mid-Beacon Hill,1842
Holly Park,1842
Columbia City,1842
South Delridge,1842
Riverview,1842
Highland Park,1842
Industrial District,1842
Wedgwood,1857
View Ridge,1857
Sand Point,1857
Roosevelt,1857
Roxhill,1861
North Delridge,1861
High Point,1861
Southeast Magnolia,1863
Lawton Park,1863
Briarcliff,1863
Mount Baker,1873
Whittier Heights,1881
Loyal Heights,1881
Gatewood,1894
Fairmount Park,1894
Seward Park,1895
Dunlap,1895
Brighton,1895
Windermere,1902
Ravenna,1902
Bryant,1902
Stevens,1916
Madison Park,1916
Harrison/Denny-Blaine,1916
University District,1935
Laurelhurst,1935
Montlake,1966
Green Lake,1968
Portage Bay,1979
North Admiral,1989
Genesee,1989
Wallingford,1999
Broadway,2031
Leschi,2034
Seaview,2035
Junction,2040
Alki,2040
Mann,2049
Interbay,2050
Sunset Hill,2061
Minor,2062
Madrona,2062
Phinney Ridge,2084
West Woodland,2084
Ballard,2084
International District,2087
West Queen Anne,2089
Yesler Terrace,2094
Fremont,2100
Pioneer Square,2155
First Hill,2336
Eastlake,2394
North Queen Anne,2425
Lower Queen Anne,2425
Westlake,2500
South Lake Union,2500
East Queen Anne,2500
Central Business District,2531
Central Waterfront,2596
Pike-Market,2714
Belltown,2714
Adams,2084
